x,v,a
-0.2519789948114764,-0.1730660092361229,0.0285520962113243
-0.2523250766071353,-0.1730088707074942,0.0285852495679321
-0.2526710440610086,-0.1729516658905327,0.0286183915010312
-0.2530168970406851,-0.172894394808638,0.0286515220204745
-0.2533626354138025,-0.1728370574852046,0.0286846411361866
-0.2537082590476432,-0.1727796539422026,0.0287177488582467
-0.2540537678049011,-0.1727221841853792,0.02875084519776
-0.2543991615518916,-0.1726646482329064,0.0287839301651866
-0.2547444401564862,-0.1726070461082194,0.0288170037707501
-0.2554346514101795,-0.1724916434357613,0.0288831169375485
-0.2557795837952212,-0.1724338429346787,0.0289161565195957
-0.2564691014218551,-0.172318043719255,0.028982201733565
-0.2568136863996301,-0.1722600450513841,0.0290152073867372
-0.2571581553112313,-0.1722019803743272,0.0290482017516561
-0.2575025080248508,-0.1721438497112282,0.029081184839129
-0.2581908643311049,-0.1720273905193003,0.0291471172253309
-0.258534867660321,-0.1719690620365782,0.029180066546039
-0.2588787542647159,-0.1719106676600281,0.0292130046332591
-0.2592225240126807,-0.1718522074126125,0.0292459314981633
-0.2595661767726439,-0.1717936813172579,0.0292788471519955
-0.2599097124130763,-0.1717350893968539,0.0293117516060732
-0.2602531308024859,-0.1716764316742544,0.0293446448717862
-0.2605964318094231,-0.1716177081722763,0.0293775269605975
-0.2609396153024763,-0.1715589189137007,0.0294103978840422
-0.2612826811502733,-0.1715000639212721,0.0294432576537286
-0.2616256292214842,-0.1714411432176986,0.0294761062813375
-0.2619684593848159,-0.1713821568256522,0.0295089437786225
-0.2623111715090178,-0.1713231047677683,0.0295417701574096
-0.2626537654628765,-0.1712639870666461,0.0295745854295976
-0.2633385983349182,-0.1711455548249014,0.0296401827021346
-0.2636808369908748,-0.1710862403292957,0.029672964726644
-0.264022956952039,-0.1710268602804847,0.0297057356928753
-0.2643649580873967,-0.1709674147008862,0.0297384956130899
-0.2647068402659757,-0.1709079036128808,0.0297712444996221
-0.2650486033568413,-0.1708483270388137,0.0298039823648782
-0.265390247229101,-0.1707886850009929,0.0298367092213372
-0.2657317717519003,-0.1707289775216907,0.0298694250815506
-0.2660731767944245,-0.1706692046231429,0.0299021299581421
-0.2664144622259006,-0.1706093663275485,0.0299348238638078
-0.2667556279155927,-0.1705494626570708,0.0299675068113161
-0.2674375995468888,-0.1704294592799355,0.0300328398832962
-0.2677784052272227,-0.1703693596174222,0.0300654900336665
-0.2681190906432327,-0.1703091946683143,0.0300981292776759
-0.2684596556643844,-0.1702489644545927,0.0301307576284547
-0.2688001001601817,-0.1701886689982026,0.0301633750992044
-0.2691404240001679,-0.1701283083210525,0.0301959817031993
-0.2694806270539281,-0.1700678824450147,0.0302285774537854
-0.269820709191085,-0.1700073913919252,0.0302611623643809
-0.2701606702813031,-0.1699468351835834,0.0302937364484763
-0.2708402287997735,-0.1698255273881596,0.0303588521914878
-0.2711798259675523,-0.169764775844495,0.0303913938777444
-0.2715193015674432,-0.169703959232413,0.0304239247921818
-0.2718586554693097,-0.1696430775735313,0.0304564449486501
-0.2721978875430531,-0.1695821308894316,0.0304889543610713
-0.2725369976586163,-0.1695211192016588,0.0305214530434391
-0.2728759856859803,-0.169460042531722,0.030553941009819
-0.2732148514951679,-0.1693989009010933,0.0305864182743483
-0.2735535949562393,-0.1693376943312091,0.0306188848512361
-0.2738922159392971,-0.169276422843469,0.0306513407547629
-0.2742307143144816,-0.1692150864592364,0.0306837859992812
-0.2745690899519733,-0.1691536851998386,0.0307162205992148
-0.2749073427219939,-0.1690922190865661,0.0307486445690595
-0.2755834791407012,-0.1689690923833785,0.0308134606768214
-0.2759213625300283,-0.1689074318358631,0.0308458528440871
-0.2762591225331651,-0.1688457065192725,0.0308782344399609
-0.2765967590205305,-0.1687839164547158,0.0309106054792956
-0.2769342718625834,-0.1687220616632656,0.0309429659770153
-0.2772716609298245,-0.1686601421659581,0.0309753159481156
-0.2776089260927914,-0.1685981579837936,0.0310076554076632
-0.2779460672220643,-0.1685361091377353,0.0310399843707961
-0.2782830841882606,-0.1684739956487109,0.0310723028527233
-0.2789567451141002,-0.1683495748252902,0.0311369084341536
-0.2792933888151785,-0.1682872675325669,0.0311691955644303
-0.2796299078360541,-0.168224895680223,0.0312014722750492
-0.2799663020475434,-0.168162459289004,0.0312337385815746
-0.2803025713205051,-0.168099958379619,0.031265994499642
-0.2806387155258352,-0.1680373929727411,0.0312982400449576
-0.2809747345344721,-0.1679747630890066,0.0313304752332985
-0.2813106282173912,-0.1679120687490158,0.0313627000805126
-0.2816463964456105,-0.1678493099733324,0.0313949146025187
-0.2819820390901859,-0.1677864867824839,0.0314271188153061
-0.282317556022213,-0.1677235991969617,0.0314593127349346
-0.282652947112829,-0.1676606472372201,0.0314914963775352
-0.2829882122332086,-0.1675976309236781,0.0315236697593089
-0.2833233512545686,-0.1675345502767173,0.0315558328965275
-0.2839932504852892,-0.1674081960638868,0.0316201285027385
-0.2846626437755117,-0.1672815847610586,0.0316843833277508
-0.2849971503713985,-0.1672181827514643,0.0317164954887346
-0.2853315300963943,-0.167154716529981,0.0317485975042718
-0.2856657828219943,-0.167091186116736,0.0317806893911266
-0.2859999084197315,-0.1670275915318209,0.031812771166133
-0.286333906761181,-0.1669639327952904,0.0318448428461952
-0.2866677777179556,-0.1669002099271634,0.0318769044482877
-0.2870015211617083,-0.1668364229474222,0.0319089559894542
-0.2873351369641335,-0.1667725718760126,0.0319409974868093
-0.2876686249969631,-0.1667086567328445,0.0319730289575368
-0.288001985131971,-0.1666446775377907,0.0320050504188905
-0.2883352172409688,-0.1665806343106886,0.0320370618881942
-0.28866832119581,-0.1665165270713385,0.0320690633828408
